init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    753, -60.239342
train,    754, -60.188438
train,    755, -60.170904
train,    756, -60.241895
train,    757, -60.053020
train,    758, -57.553403
train,    759, -60.053986
train,    760, -60.057035
train,    761, -60.056567
train,    762, -60.053000
train,    763, -60.255092
train,    764, -60.052468
train,    765, -60.053118
train,    766, -60.280557
train,    767, -60.053328
train,    768, -60.052829
train,    769, -60.057297
train,    770, -60.328580
train,    771, -60.052465
train,    772, -60.053013
train,    773, -60.058526
train,    774, -54.260261
train,    775, -60.383613
train,    776, -60.271315
train,    777, -60.320790
train,    778, -60.235145
train,    779, -60.334626
train,    780, -60.299820
train,    781, -60.282283
train,    782, -60.056273
train,    783, -60.236430
train,    784, -60.286957
train,    785, -60.383056
train,    786, -60.058590
train,    787, -60.259740
train,    788, -60.053283
train,    789, -60.253391
train,    790, -60.052411
train,    791, -61.418990
train,    792, -55.844602
train,    793, -54.401455
train,    794, -54.739708
train,    795, 31.029974
train,    796, 30.967637
train,    797, -54.526452
train,    798, -60.795100
train,    799, 31.067624
val,      799,   -60.209297,   31.067624
train,    800, -55.247566
train,    801, -60.838162
train,    802, -60.139022
train,    803, -60.708760
train,    804, -55.020350
train,    805, -60.523460
train,    806, -54.870210
train,    807, -60.356763
train,    808, -60.295236
train,    809, -61.325714
train,    810, 30.814864
train,    811, -60.615232
train,    812, 31.070562
train,    813, -60.884198
train,    814, 31.030204
train,    815, -54.967111
train,    816, 30.798476
train,    817, 31.039547
train,    818, -54.716896
train,    819, -60.947966
train,    820, 30.855706
train,    821, -54.468170
train,    822, -54.964810
train,    823, -56.286077
train,    824, -60.139326
train,    825, -60.319777
train,    826, -54.921390
train,    827, -60.625947
train,    828, -60.282069
train,    829, -60.472507
train,    830, -54.355923
train,    831, -54.252647
train,    832, -60.135494
train,    833, -60.571314
train,    834, -57.553901
train,    835, -60.248435
train,    836, -55.697475
train,    837, 31.345329
train,    838, -55.246784
train,    839, -60.569646
train,    840, -55.032393
train,    841, -54.985277
train,    842, -54.783533
train,    843, -55.500424
train,    844, -55.974179
train,    845, -55.268882
train,    846, 31.100969
train,    847, 30.868827
train,    848, -60.270618
train,    849, -54.623450
train,    850, -60.279093
train,    851, -60.406503
train,    852, -60.137885
train,    853, -60.134548
train,    854, -60.053411
train,    855, -60.296689
train,    856, -60.180906
train,    857, -60.217997
train,    858, -61.330883
train,    859, -60.694818
train,    860, -60.294248
train,    861, -60.056276
train,    862, -60.174494
train,    863, -54.135230
train,    864, -60.053137
train,    865, -60.135794
train,    866, -54.003836
train,    867, -61.007062
train,    868, -60.053633
train,    869, -55.099048
train,    870, -61.976216
train,    871, -55.617984
train,    872, -54.286060
train,    873, -55.747054
train,    874, 30.785262
train,    875, -60.617633
train,    876, -54.293878
train,    877, -54.778065
train,    878, -54.664064
train,    879, -54.285940
train,    880, -57.751328
train,    881, -54.003920
train,    882, -54.457941
train,    883, -55.032245
train,    884, -60.140744
train,    885, -60.598047
train,    886, -60.284221
train,    887, -60.547116
train,    888, -60.052626
train,    889, -54.401383
train,    890, -60.287810
train,    891, -60.399830
train,    892, 31.798181
train,    893, -54.003922
train,    894, 31.525918
train,    895, -54.620617
train,    896, -54.408381
train,    897, -60.135091
train,    898, -54.568174
train,    899, -60.713179
val_save, 899,   -54.810244
val,      899,   -54.810244,   -60.713179
train,    900, -60.893602
train,    901, -56.238791
train,    902, -54.716909
