episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
879,10.242555,3.423156,14.085683,0.491400,0.012105,0.467470,0.443033,0.021676,0.459036,20.269267,0.117846,20.255247,17.040651,5.317115,18.292284,0.630033,0.019776,0.610262,0.362167,0.029188,0.363822,20.531133,0.110490,20.544340
889,4.563422,2.353626,11.705118,0.456200,0.037691,0.464652,0.460733,0.038914,0.459460,20.419033,0.100131,20.296194,17.849884,2.234185,18.181684,0.610567,0.027366,0.610338,0.369433,0.035229,0.365225,20.560767,0.032131,20.548447
899,6.692647,4.513649,10.452000,0.484167,0.013074,0.469531,0.432067,0.022127,0.452612,20.226900,0.124606,20.278870,19.721532,4.157380,18.566646,0.603800,0.028054,0.608703,0.358967,0.054881,0.363660,20.537400,0.034346,20.545685
909,8.199750,1.267097,9.888937,0.414100,0.039911,0.455673,0.473200,0.052812,0.457759,20.197400,0.121835,20.258503,16.145070,0.797024,17.961252,0.623533,0.001429,0.612411,0.338800,0.035785,0.357445,20.561033,0.128528,20.549522
919,15.717358,2.719015,11.346042,0.503833,0.019783,0.467713,0.465167,0.026423,0.459611,20.217467,0.111629,20.248244,17.871339,1.632451,17.938774,0.620267,0.022058,0.614375,0.344533,0.018218,0.354217,20.580100,0.096550,20.557167
929,16.616825,2.202431,12.663738,0.510067,0.021626,0.478302,0.456600,0.025277,0.458858,20.273100,0.037293,20.254458,18.267269,1.782595,18.020898,0.624067,0.036693,0.616798,0.342400,0.043411,0.351263,20.527767,0.090232,20.549817
939,17.168945,3.218538,13.790040,0.467400,0.035926,0.475576,0.440633,0.006749,0.454302,20.233133,0.112548,20.249127,16.587885,2.464698,17.662645,0.635300,0.043548,0.621423,0.343433,0.032263,0.349306,20.551800,0.120559,20.550312
949,20.535224,2.665678,15.476336,0.454933,0.026320,0.470415,0.447767,0.033699,0.452668,20.366800,0.105818,20.278545,18.262595,4.020671,17.812632,0.617633,0.043672,0.620476,0.352200,0.058243,0.350029,20.544267,0.126167,20.548801
959,19.535844,0.857445,16.491213,0.492633,0.010846,0.475970,0.467833,0.041469,0.456459,20.267533,0.127450,20.275792,18.456661,3.647247,17.973639,0.657233,0.018685,0.629665,0.370933,0.088686,0.355255,20.563933,0.153210,20.552584
969,13.224297,0.184877,15.674484,0.444867,0.027969,0.468194,0.440967,0.001621,0.452586,20.233133,0.119840,20.265127,16.941832,6.099009,17.715687,0.622633,0.022450,0.627907,0.310667,0.055696,0.344108,20.543467,0.094594,20.550305
979,12.075324,2.130912,14.774694,0.470167,0.028686,0.468687,0.419267,0.031684,0.444256,20.261500,0.150186,20.264221,21.165725,5.356759,18.578197,0.630367,0.013998,0.628522,0.345300,0.037341,0.344406,20.536133,0.148257,20.546762
